LOGOTIME,trap-xcor,trap-ycor
2010-01-01 12:00:00.000,13,2
2010-01-01 12:00:00.516,10,1
2010-01-01 12:00:00.671,7,1
2010-01-01 12:00:01.116,9,2
2010-01-01 12:00:01.539,14,5
2010-01-01 12:00:01.851,10,3
2010-01-01 12:00:01.974,11,4
2010-01-01 12:00:02.211,11,7
2010-01-01 12:00:02.419,3,-1
2010-01-01 12:00:02.667,12,0
2010-01-01 12:00:03.017,8,3
2010-01-01 12:00:03.116,6,7
2010-01-01 12:00:03.167,12,4
2010-01-01 12:00:03.381,14,1
2010-01-01 12:00:03.456,5,5
2010-01-01 12:00:03.702,9,7
2010-01-01 12:00:03.709,9,5
2010-01-01 12:00:03.864,14,2
2010-01-01 12:00:04.001,7,-4
2010-01-01 12:00:04.101,3,7
2010-01-01 12:00:04.133,10,4
2010-01-01 12:00:04.144,6,3
2010-01-01 12:00:04.190,9,6
2010-01-01 12:00:04.242,7,2
2010-01-01 12:00:04.244,8,-1
2010-01-01 12:00:04.412,15,0
2010-01-01 12:00:04.446,9,11
2010-01-01 12:00:04.569,13,5
2010-01-01 12:00:04.668,9,-7
2010-01-01 12:00:04.685,8,4
2010-01-01 12:00:04.689,16,5
2010-01-01 12:00:04.776,5,1
2010-01-01 12:00:04.900,2,3
2010-01-01 12:00:04.922,4,3
2010-01-01 12:00:05.130,11,15
2010-01-01 12:00:05.190,11,10
2010-01-01 12:00:05.327,11,-5
2010-01-01 12:00:05.355,2,4
2010-01-01 12:00:05.368,4,-1
2010-01-01 12:00:05.409,1,11
2010-01-01 12:00:05.434,3,4
2010-01-01 12:00:05.441,6,5
2010-01-01 12:00:05.465,0,4
2010-01-01 12:00:05.580,7,-8
2010-01-01 12:00:05.635,8,0
2010-01-01 12:00:05.641,13,-8
2010-01-01 12:00:05.651,-1,6
2010-01-01 12:00:05.679,15,9
2010-01-01 12:00:05.708,4,1
2010-01-01 12:00:05.803,12,2
2010-01-01 12:00:05.805,8,6
2010-01-01 12:00:05.818,12,1
2010-01-01 12:00:05.839,7,15
2010-01-01 12:00:05.897,12,13
2010-01-01 12:00:05.917,10,-11
2010-01-01 12:00:05.924,3,16
2010-01-01 12:00:05.963,15,-2
2010-01-01 12:00:06.012,13,-7
2010-01-01 12:00:06.045,7,6
2010-01-01 12:00:06.129,12,7
2010-01-01 12:00:06.138,8,7
2010-01-01 12:00:06.145,6,4
2010-01-01 12:00:06.212,3,8
2010-01-01 12:00:06.359,15,1
2010-01-01 12:00:06.368,4,11
2010-01-01 12:00:06.375,6,0
2010-01-01 12:00:06.415,12,-4
2010-01-01 12:00:06.430,2,-1
2010-01-01 12:00:06.448,0,-2
2010-01-01 12:00:06.476,9,10
2010-01-01 12:00:06.517,4,4
2010-01-01 12:00:06.541,10,6
2010-01-01 12:00:06.613,12,8
2010-01-01 12:00:06.620,9,0
2010-01-01 12:00:06.622,1,2
2010-01-01 12:00:06.624,8,-3
2010-01-01 12:00:06.639,11,-6
2010-01-01 12:00:06.659,14,-7
2010-01-01 12:00:06.687,6,-5
2010-01-01 12:00:06.692,12,12
2010-01-01 12:00:06.700,12,14
2010-01-01 12:00:06.868,2,5
2010-01-01 12:00:06.884,-1,9
2010-01-01 12:00:06.915,4,6
2010-01-01 12:00:06.920,11,6
2010-01-01 12:00:06.939,-1,3
2010-01-01 12:00:06.941,7,3
2010-01-01 12:00:06.969,5,-4
2010-01-01 12:00:06.995,7,8
2010-01-01 12:00:07.031,14,-4
2010-01-01 12:00:07.046,4,0
2010-01-01 12:00:07.048,15,5
2010-01-01 12:00:07.070,8,5
2010-01-01 12:00:07.094,-1,5
2010-01-01 12:00:07.105,-2,4
2010-01-01 12:00:07.127,11,0
2010-01-01 12:00:07.136,-4,5
2010-01-01 12:00:07.165,1,15
2010-01-01 12:00:07.185,0,14
2010-01-01 12:00:07.211,6,-4
2010-01-01 12:00:07.222,15,14
